+---------------------+---------------------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
| 2011-05-30 00:00:00 | 2011-05-30 00:00:00 |  67.8014 |            0 |             0 |     34.1951    |  7804.14    |
| 2011-06-06 00:00:00 | 2011-06-06 00:00:00 |  65.3872 |            0 |             0 |     31.7808    |  7835.92    |
| 2011-06-13 00:00:00 | 2011-06-13 00:00:00 |  65.5799 |            0 |             0 |     31.9736    |  7867.89    |
| 2011-06-20 00:00:00 | 2011-06-20 00:00:00 |  67.0134 |            0 |             0 |     33.4071    |  7901.3     |
| 2011-06-27 00:00:00 | 2011-06-27 00:00:00 |  70.4924 |            0 |             0 |     36.886     |  7938.19    |
| 2011-07-04 00:00:00 | 2011-07-04 00:00:00 |  71.3642 |            0 |             0 |     37.7578    |  7975.95    |
| 2011-07-11 00:00:00 | 2011-07-11 00:00:00 |  69.628  |            0 |             0 |     36.0216    |  8011.97    |
| 2011-07-18 00:00:00 | 2011-07-18 00:00:00 |  70.6706 |            0 |             0 |     37.0643    |  8049.03    |
| 2011-07-25 00:00:00 | 2011-07-25 00:00:00 |  67.0467 |            0 |             0 |     33.4403    |  8082.47    |
| 2011-08-01 00:00:00 | 2011-08-01 00:00:00 |  59.9755 |            0 |             1 |     26.3691    |  8108.84    |
| 2011-08-08 00:00:00 | 2011-08-08 00:00:00 |  58.6806 |            0 |             1 |     25.0742    |  8133.91    |
| 2011-08-15 00:00:00 | 2011-08-15 00:00:00 |  54.8885 |            0 |             1 |     21.2821    |  8155.2     |
| 2011-08-22 00:00:00 | 2011-08-22 00:00:00 |  58.1088 |            0 |             1 |     24.5025    |  8179.7     |
| 2011-08-29 00:00:00 | 2011-08-29 00:00:00 |  57.5623 |            0 |             1 |     23.9559    |  8203.66    |
| 2011-09-05 00:00:00 | 2011-09-05 00:00:00 |  56.7551 |            0 |             1 |     23.1487    |  8226.8     |
| 2011-09-12 00:00:00 | 2011-09-12 00:00:00 |  60.1352 |            0 |             1 |     26.5289    |  8253.33    |
| 2011-09-19 00:00:00 | 2011-09-19 00:00:00 |  54.7708 |            0 |             1 |     21.1644    |  8274.5     |
| 2011-09-26 00:00:00 | 2011-09-26 00:00:00 |  54.2741 |            0 |             1 |     20.6678    |  8295.17    |
| 2011-10-03 00:00:00 | 2011-10-03 00:00:00 |  55.287  |            0 |             1 |     21.6806    |  8316.85    |
| 2011-10-10 00:00:00 | 2011-10-10 00:00:00 |  60.0476 |            0 |             1 |     26.4412    |  8343.29    |
| 2011-10-17 00:00:00 | 2011-10-17 00:00:00 |  60.0391 |            0 |             1 |     26.4328    |  8369.72    |
| 2011-10-24 00:00:00 | 2011-10-24 00:00:00 |  64.1751 |            0 |             1 |     30.5688    |  8400.29    |
| 2011-10-31 00:00:00 | 2011-10-31 00:00:00 |  62.9681 |            0 |             1 |     29.3618    |  8429.65    |
| 2011-11-07 00:00:00 | 2011-11-07 00:00:00 |  62.7824 |            0 |             1 |     29.176     |  8458.83    |
| 2011-11-14 00:00:00 | 2011-11-14 00:00:00 |  60.7566 |            0 |             1 |     27.1502    |  8485.98    |
| 2011-11-21 00:00:00 | 2011-11-21 00:00:00 |  56.2324 |            0 |             1 |     22.626     |  8508.6     |
| 2011-11-28 00:00:00 | 2011-11-28 00:00:00 |  62.0396 |            0 |             1 |     28.4333    |  8537.04    |
| 2011-12-05 00:00:00 | 2011-12-05 00:00:00 |  62.9174 |            0 |             1 |     29.3111    |  8566.35    |
| 2011-12-12 00:00:00 | 2011-12-12 00:00:00 |  60.9929 |            0 |             1 |     27.3866    |  8593.73    |
| 2011-12-19 00:00:00 | 2011-12-19 00:00:00 |  62.9259 |            0 |             1 |     29.3195    |  8623.05    |
| 2011-12-26 00:00:00 | 2011-12-26 00:00:00 |  62.5543 |            0 |             1 |     28.9479    |  8652       |
| 2012-01-02 00:00:00 | 2012-01-02 00:00:00 |  63.4364 |            0 |             1 |     29.8301    |  8681.83    |
| 2012-01-09 00:00:00 | 2012-01-09 00:00:00 |  64.7935 |            0 |             0 |     31.1872    |  8713.02    |
| 2012-01-16 00:00:00 | 2012-01-16 00:00:00 |  66.3712 |            0 |             0 |     32.7648    |  8745.78    |
| 2012-01-23 00:00:00 | 2012-01-23 00:00:00 |  67.618  |            0 |             0 |     34.0117    |  8779.79    |
| 2012-01-30 00:00:00 | 2012-01-30 00:00:00 |  70.3577 |            0 |             1 |     36.7513    |  8816.55    |
| 2012-02-06 00:00:00 | 2012-02-06 00:00:00 |  68.9327 |            0 |             0 |     35.3264    |  8851.87    |
| 2012-02-13 00:00:00 | 2012-02-13 00:00:00 |  70.222  |            0 |             1 |     36.6156    |  8888.49    |
| 2012-02-20 00:00:00 | 2012-02-20 00:00:00 |  70.0947 |            0 |             0 |     36.4884    |  8924.98    |
| 2012-02-27 00:00:00 | 2012-02-27 00:00:00 |  68.0676 |            0 |             0 |     34.4612    |  8959.44    |
| 2012-03-05 00:00:00 | 2012-03-05 00:00:00 |  69.2126 |            0 |             0 |     35.6063    |  8995.04    |
| 2012-03-12 00:00:00 | 2012-03-12 00:00:00 |  70.4001 |            0 |             0 |     36.7937    |  9031.84    |
| 2012-03-19 00:00:00 | 2012-03-19 00:00:00 |  70.1287 |            0 |             0 |     36.5223    |  9068.36    |
| 2012-03-26 00:00:00 | 2012-03-26 00:00:00 |  70.4542 |            0 |             0 |     36.8479    |  9105.21    |
| 2012-04-02 00:00:00 | 2012-04-02 00:00:00 |  69.4078 |            0 |             0 |     35.8014    |  9141.01    |
| 2012-04-09 00:00:00 | 2012-04-09 00:00:00 |  67.6721 |            0 |             0 |     34.0658    |  9175.08    |
| 2012-04-16 00:00:00 | 2012-04-16 00:00:00 |  68.2422 |            0 |             0 |     34.6358    |  9209.71    |
| 2012-04-23 00:00:00 | 2012-04-23 00:00:00 |  70.0884 |            0 |             0 |     36.4821    |  9246.19    |
| 2012-04-30 00:00:00 | 2012-04-30 00:00:00 |  67.2893 |            0 |             0 |     33.6829    |  9279.88    |
| 2012-05-07 00:00:00 | 2012-05-07 00:00:00 |  67.1277 |            0 |             0 |     33.5213    |  9313.4     |
| 2012-05-14 00:00:00 | 2012-05-14 00:00:00 |  63.5458 |            0 |             1 |     29.9394    |  9343.34    |
| 2012-05-21 00:00:00 | 2012-05-21 00:00:00 |  65.1623 |            0 |             0 |     31.5559    |  9374.89    |
| 2012-05-28 00:00:00 | 2012-05-28 00:00:00 |  62.8056 |            0 |             1 |     29.1993    |  9404.09    |
| 2012-06-04 00:00:00 | 2012-06-04 00:00:00 |  65.4856 |            0 |             0 |     31.8792    |  9435.97    |
| 2012-06-11 00:00:00 | 2012-06-11 00:00:00 |  65.6983 |            0 |             0 |     32.092     |  9468.06    |
| 2012-06-18 00:00:00 | 2012-06-18 00:00:00 |  65.928  |            0 |             0 |     32.3217    |  9500.38    |
| 2012-06-25 00:00:00 | 2012-06-25 00:00:00 |  67.6892 |            0 |             0 |     34.0828    |  9534.47    |
| 2012-07-02 00:00:00 | 2012-07-02 00:00:00 |  68.8547 |            0 |             0 |     35.2484    |  9569.72    |
| 2012-07-09 00:00:00 | 2012-07-09 00:00:00 |  68.2049 |            0 |             0 |     34.5986    |  9604.31    |
| 2012-07-16 00:00:00 | 2012-07-16 00:00:00 |  67.4867 |            0 |             0 |     33.8803    |  9638.19    |
| 2012-07-23 00:00:00 | 2012-07-23 00:00:00 |  67.8202 |            0 |             0 |     34.2138    |  9672.41    |
| 2012-07-30 00:00:00 | 2012-07-30 00:00:00 |  67.2131 |            0 |             0 |     33.6067    |  9706.02    |
| 2012-08-06 00:00:00 | 2012-08-06 00:00:00 |  68.3332 |            0 |             0 |     34.7268    |  9740.74    |
| 2012-08-13 00:00:00 | 2012-08-13 00:00:00 |  69.8636 |            0 |             0 |     36.2573    |  9777       |
| 2012-08-20 00:00:00 | 2012-08-20 00:00:00 |  69.0343 |            0 |             0 |     35.4279    |  9812.43    |
