+---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |     Open |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
| 2001-07-30 00:00:00 | 2001-07-30 00:00:00 |  85.5    |  83.85   |            0 |             1 |      7.85      |   1433.96   |
| 2001-08-06 00:00:00 | 2001-08-06 00:00:00 |  80.8    |  84.85   |            0 |             1 |      8.85      |   1442.81   |
| 2001-08-13 00:00:00 | 2001-08-13 00:00:00 |  77.25   |  80.15   |            0 |             1 |      4.15      |   1446.96   |
| 2001-08-20 00:00:00 | 2001-08-20 00:00:00 |  81.3    |  77.26   |            0 |             1 |      1.26      |   1448.22   |
| 2001-08-27 00:00:00 | 2001-08-27 00:00:00 |  80.1    |  81.3    |            0 |             1 |      5.3       |   1453.52   |
| 2001-09-03 00:00:00 | 2001-09-03 00:00:00 |  74.48   |  79.95   |            0 |             1 |      3.95      |   1457.47   |
| 2001-09-10 00:00:00 | 2001-09-10 00:00:00 |  76.2    |  74.48   |            0 |             1 |     -1.52      |   1455.95   |
| 2001-09-17 00:00:00 | 2001-09-17 00:00:00 |  67.69   |  72.3    |            0 |             1 |     -3.7       |   1452.25   |
| 2001-09-24 00:00:00 | 2001-09-24 00:00:00 |  71.35   |  69.75   |            0 |             1 |     -6.25      |   1446      |
| 2001-10-01 00:00:00 | 2001-10-01 00:00:00 |  76.25   |  71.36   |            0 |             1 |     -4.64      |   1441.36   |
| 2001-10-08 00:00:00 | 2001-10-08 00:00:00 |  82.8    |  76.26   |            0 |             1 |      0.260002  |   1441.62   |
| 2001-10-15 00:00:00 | 2001-10-15 00:00:00 |  79.75   |  82.55   |            0 |             1 |      6.55      |   1448.18   |
| 2001-10-22 00:00:00 | 2001-10-22 00:00:00 |  83.12   |  79.75   |            0 |             1 |      3.75      |   1451.93   |
| 2001-10-29 00:00:00 | 2001-10-29 00:00:00 |  82.25   |  83.12   |            0 |             1 |      7.12      |   1459.05   |
